TRI Incident Number,Subject Injury Level,Subject Injured,Age,Subject Race,Subject Gender,Force Against MOS,Subject Used Force
2022029962047,No Injury,N,,BLACK,MALE,Physical Force,Y
2022029962098,No Injury,N,,BLACK,MALE,Physical Force,Y
2022032962108,No Injury,N,,BLACK,MALE,Physical Force,Y
2022032962146,No Injury,N,,BLACK,MALE,Physical Force,Y
2022033962048,No Injury,N,,BLACK,MALE,Physical Force,Y
2022033962193,No Injury,N,,BLACK,MALE,Physical Force,Y
2022037962024,No Injury,N,,BLACK,MALE,Physical Force,Y
2022037962109,No Injury,N,,BLACK,MALE,Physical Force,Y
2022037962147,No Injury,N,,BLACK,MALE,Physical Force,Y
2022038962027,No Injury,N,,BLACK,MALE,Physical Force,Y
2022038962028,No Injury,N,,BLACK,MALE,Physical Force,Y
2022038962092,No Injury,N,,BLACK,MALE,Physical Force,Y
2022042962078,No Injury,N,,BLACK,MALE,Physical Force,Y
2022043962077,No Injury,N,,BLACK,MALE,Physical Force,Y
2022044962026,No Injury,N,,BLACK,MALE,Physical Force,Y
2022044962082,No Injury,N,,BLACK,MALE,Physical Force,Y
2022044962115,No Injury,N,,BLACK,MALE,Physical Force,Y
2022044962176,No Injury,N,,BLACK,MALE,Physical Force,Y
2022047962078,No Injury,N,,BLACK,MALE,Physical Force,Y
2022047962123,No Injury,N,,BLACK,MALE,Physical Force,Y
2022047962133,No Injury,N,,BLACK,MALE,Physical Force,Y
2022049962050,No Injury,N,,BLACK,MALE,Physical Force,Y
2022049962097,No Injury,N,,BLACK,MALE,Physical Force,Y
2022051962074,No Injury,N,,BLACK,MALE,Physical Force,Y
2022051962086,No Injury,N,,BLACK,MALE,Physical Force,Y
2022051962109,No Injury,N,,BLACK,MALE,Physical Force,Y
2022051962113,No Injury,N,,BLACK,MALE,Physical Force,Y
2022051962117,No Injury,N,,BLACK,MALE,Physical Force,Y
2022052962042,No Injury,N,,BLACK,MALE,Physical Force,Y
2022053962114,No Injury,N,,BLACK,MALE,Physical Force,Y
2022059962296,No Injury,N,,BLACK,MALE,Physical Force,Y
2022059962304,No Injury,N,,BLACK,MALE,Physical Force,Y
2022060962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2022060962079,No Injury,N,,BLACK,MALE,Physical Force,Y
2022061962034,No Injury,N,,BLACK,MALE,Physical Force,Y
2022061962108,No Injury,N,,BLACK,MALE,Physical Force,Y
2022061962190,No Injury,N,,BLACK,MALE,Physical Force,Y
2022061962191,No Injury,N,,BLACK,MALE,Physical Force,Y
2022061962208,No Injury,N,,BLACK,MALE,Physical Force,Y
2022063962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2022063962141,No Injury,N,,BLACK,MALE,Physical Force,Y
